2019-01-07 15:27:25,687 |  BramHope Website Portal |INFO | Verify that if the user can't able to login with correct un & incorrect password
2019-01-07 15:27:25,759 |  BramHope Website Portal |INFO | Verify that if the User Name field is present 
2019-01-07 15:27:25,771 |  BramHope Website Portal |INFO | Verify that if the username fields get autofocus
2019-01-07 15:27:25,888 |  BramHope Website Portal |INFO | Verify that if the Password  field is present 
2019-01-07 15:27:25,900 |  BramHope Website Portal |INFO | Verify that if the password fields get focused
2019-01-07 15:27:25,974 |  BramHope Website Portal |INFO | Verify that user can able to login the valid credentials
2019-01-07 15:27:29,885 |  Habitos - CRM Info |INFO | Verify that if click info it should redirect to crm info index screen 
2019-01-07 15:27:41,991 |  BramHope Website Portal |INFO | browser gets open
2019-01-07 15:27:45,595 |  BramHope Website Portal |INFO | browser gets valid ip address
2019-01-07 15:27:55,662 |  Habitos - CRM Info |ERROR | Verify that user can able to select the meal time
2019-01-07 15:28:05,725 |  Habitos - CRM Info |ERROR | Verify that user can able to select meal type
2019-01-07 15:28:09,018 |  Habitos - CRM Info |INFO | Verify that user can able to select Student type
2019-01-07 15:28:09,023 |  Habitos - CRM Info |ERROR | Verify that user can able to select spread type
2019-01-07 15:28:09,030 |  Habitos - CRM Info |ERROR | Verify that user can able to enter the total count
2019-01-07 15:28:09,045 |  Habitos - CRM Info |INFO | Verify that user can able to select the consume time
2019-01-07 15:28:09,078 |  Habitos - CRM Info |INFO | Verify that user can able to select the dispatch time
2019-01-07 15:28:09,107 |  Habitos - CRM Info |INFO | Verify that user can able to select the delivery time
2019-01-07 15:28:09,122 |  Habitos - CRM Info |ERROR | Verify that user can able to select order  type
2019-01-07 15:28:09,635 |  Habitos - CRM Info |INFO | ********** Verify that use can able to login with correct username & incorrect password***********
2019-01-07 15:28:09,847 |  Habitos - View Control |ERROR | if click add button it should redirect to add screen
2019-01-07 15:28:09,850 |  Habitos - View Control |ERROR | if click sumit button the values gets saved and dispalying to index screen
2019-01-07 15:28:10,611 |  Habitos - Individual_Enrollment |ERROR | Verify that if click info it should redirect to crm info index screen 
2019-01-07 15:28:10,617 |  Habitos - Individual_Enrollment |ERROR | if click upload button it should upload the enrolment file
